"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"35","14","5",4,8,18,1,19,16,0,1,9,11,16,0,1,0,1,0,70,38,108,4,32,3.7037037037037,29.6296296296296,35.1851851851852,64.8148148148148
"36","14","6",4,5,9,4,9,14,2,2,5,7,14,0,3,1,2,1,50,35,85,5,28,5.88235294117647,32.9411764705882,41.1764705882353,58.8235294117647
"37","15","1",3,4,8,3,9,20,6,4,4,7,21,7,3,8,4,3,59,58,117,6,41,5.12820512820513,35.042735042735,49.5726495726496,50.4273504273504
"38","15","2",22,11,15,3,12,12,4,1,10,7,10,2,5,0,1,0,82,36,118,22,22,18.6440677966102,18.6440677966102,30.5084745762712,69.4915254237288
"39","15","3",6,7,13,2,13,14,3,2,7,8,13,3,3,2,2,1,62,40,102,7,27,6.86274509803922,26.4705882352941,39.2156862745098,60.7843137254902
"40","15","4",12,7,17,2,17,3,2,1,8,12,3,1,2,1,1,0,64,28,92,12,6,13.0434782608696,6.52173913043478,30.4347826086957,69.5652173913043
"41","15","5",33,11,11,4,9,4,5,3,12,4,1,4,7,1,3,0,83,32,115,33,5,28.695652173913,4.34782608695652,27.8260869565217,72.1739130434783
"42","15","6",63,12,10,4,10,2,4,1,11,3,2,1,4,1,1,1,108,25,133,64,4,48.1203007518797,3.00751879699248,18.796992481203,81.203007518797
"43","16","1",6,4,4,5,4,4,3,6,4,5,3,4,5,4,6,12,37,45,82,18,7,21.9512195121951,8.53658536585366,54.8780487804878,45.1219512195122
"44","16","2",2,3,3,1,2,2,0,4,3,1,1,3,2,2,4,6,19,23,42,8,3,19.047619047619,7.14285714285714,54.7619047619048,45.2380952380952
"45","16","3",0,0,1,2,0,5,1,3,0,3,3,2,3,1,3,2,13,19,32,2,8,6.25,25,59.375,40.625
"46","16","4",0,1,1,0,0,2,2,1,1,0,1,2,1,1,0,1,7,10,17,1,3,5.88235294117647,17.6470588235294,58.8235294117647,41.1764705882353
"47","16","5",0,0,1,0,0,3,3,1,0,2,2,3,2,2,1,4,10,17,27,4,5,14.8148148148148,18.5185185185185,62.962962962963,37.037037037037
"48","16","6",0,0,1,1,1,3,3,1,0,2,4,3,1,4,1,6,12,22,34,6,7,17.6470588235294,20.5882352941176,64.7058823529412,35.2941176470588
"49","17","1",6,6,4,6,4,7,6,8,5,4,7,8,5,9,8,12,48,60,108,18,14,16.6666666666667,12.962962962963,55.5555555555556,44.4444444444444
"50","17","2",6,5,6,4,8,2,3,2,5,6,4,1,3,2,2,6,38,30,68,12,6,17.6470588235294,8.82352941176471,44.1176470588235,55.8823529411765
